CANDIDATE_ID,CANDIDATE_NAME,AGE,CONSTITUENCY,STATE,PARTY,NO_PENDING_CRIMINAL_CASES,EDUCATION,EARNINGS,STATE_LITERACY_RATE,STATE_SEAT_SHARE,PARTY_GRP_IDX,AGE_GROUP_IDX,EDUCATION_GROUP_IDX,DELTA_STATE_VOTER_TURNOUT,NO_OF_PHASES
7306,Arun Manohar Thakare,61,AKOLA,MAHARASHTRA,IND,0,10th Pass,0.0,0.8291,0.088,1,1,1,0.0047,4
5440,Sanjay Shamrao Dhotre,60,AKOLA,MAHARASHTRA,BJP,1,Graduate Professional,62167456.0,0.8291,0.088,3,1,3,0.0047,4
8813,A M Ariff,54,ALAPPUZHA,KERALA,CPI(M),2,Graduate Professional,13048206.0,0.9391,0.037,3,2,3,0.0373,1
8816,Varkala Raj,59,ALAPPUZHA,KERALA,Peoples Democratic Party,0,12th Pass,1576000.0,0.9391,0.037,1,2,2,0.0373,1
8819,Akhilesh,38,ALAPPUZHA,KERALA,Ambedkarite Party of India,0,12th Pass,106000.0,0.9391,0.037,1,4,2,0.0373,1
8822,Thahir,36,ALAPPUZHA,KERALA,IND,0,10th Pass,360000.0,0.9391,0.037,1,4,1,0.0373,1
8811,Santhosh,46,ALAPPUZHA,KERALA,IND,0,10th Pass,997408.0,0.9391,0.037,1,3,1,0.0373,1
8814,Shanimol,52,ALAPPUZHA,KERALA,INC,0,Post Graduate,17840943.0,0.9391,0.037,3,2,4,0.0373,1
8817,Prasanth,33,ALAPPUZHA,KERALA,BSP,2,Graduate,20360.0,0.9391,0.037,3,4,3,0.0373,1
8820,Shan K S,36,ALAPPUZHA,KERALA,SDPI,2,Graduate Professional,5572567.0,0.9391,0.037,1,4,3,0.0373,1
8812,Parthasarathy Varma,51,ALAPPUZHA,KERALA,SUCI(C),0,Others,1208704.0,0.9391,0.037,1,2,0,0.0373,1
8815,Radhakrishnan,64,ALAPPUZHA,KERALA,BJP,1,Doctorate,16484722.0,0.9391,0.037,3,1,5,0.0373,1
8818,Rajeevan,46,ALAPPUZHA,KERALA,IND,0,12th Pass,873152.0,0.9391,0.037,1,3,2,0.0373,1
8821,Satheesh Shenoy,37,ALAPPUZHA,KERALA,IND,0,Others,106278000.0,0.9391,0.037,1,4,0,0.0373,1
9259,Ramya P M,32,ALATHUR,KERALA,INC,3,10th Pass,1152816.0,0.9391,0.037,3,4,1,0.0373,1
9262,Krishnankutty,53,ALATHUR,KERALA,IND,0,8th Pass,1400000.0,0.9391,0.037,1,2,0,0.0373,1
9260,Dr.Jayan.C.Kuthanur,40,ALATHUR,KERALA,BSP,0,Doctorate,828631.0,0.9391,0.037,3,3,5,0.0373,1
9263,Pretheep Kumar P K,40,ALATHUR,KERALA,IND,0,Graduate Professional,650099.0,0.9391,0.037,1,3,3,0.0373,1
9258,P.K.Biju,44,ALATHUR,KERALA,CPI(M),0,Doctorate,3563624.0,0.9391,0.037,3,3,5,0.0373,1
9261,Babu T V,61,ALATHUR,KERALA,Bharath Dharma Jana Sena,4,10th Pass,576055.0,0.9391,0.037,1,1,1,0.0373,1
5508,Ajeet Kumar,51,ALIGARH,UTTAR PRADESH,BSP,0,Doctorate,281852783.0,0.6972,0.147,3,2,5,0.0121,7
5511,Bijendra Singh,62,ALIGARH,UTTAR PRADESH,INC,4,Graduate,7648000.0,0.6972,0.147,3,1,3,0.0121,7
7112,Thakur Manoj Singh,41,ALIGARH,UTTAR PRADESH,Rashtravadi Party (Bharat),0,10th Pass,5650000.0,0.6972,0.147,1,3,1,0.0121,7
7116,Mohd. Shakeel (Adv.),46,ALIGARH,UTTAR PRADESH,Lok Dal,2,Post Graduate,1696000.0,0.6972,0.147,1,3,4,0.0121,7
5509,Sanjay Balmiki,35,ALIGARH,UTTAR PRADESH,Bhartiya Bhaichara Party,0,5th Pass,2421000.0,0.6972,0.147,1,4,0,0.0121,7
5512,Charan Singh,56,ALIGARH,UTTAR PRADESH,IND,0,12th Pass,2210000.0,0.6972,0.147,1,2,2,0.0121,7
7110,Amar Singh Mahaur,52,ALIGARH,UTTAR PRADESH,Swatantra Jantaraj Party,0,Graduate Professional,1564164.0,0.6972,0.147,1,2,3,0.0121,7
7113,Deepak Chaudhary,30,ALIGARH,UTTAR PRADESH,Pragatishil Samajwadi Party (Lohia),1,Graduate,31718690.0,0.6972,0.147,1,4,3,0.0121,7
7118,Shaheen,54,ALIGARH,UTTAR PRADESH,IND,0,Others,2167000.0,0.6972,0.147,1,2,0,0.0121,7
5510,Satish Kumar Gautam,46,ALIGARH,UTTAR PRADESH,BJP,0,10th Pass,81427383.0,0.6972,0.147,3,3,1,0.0121,7
5513,Satish Chandra Sharma,48,ALIGARH,UTTAR PRADESH,AAP,0,Literate,102266526.0,0.6972,0.147,2,3,0,0.0121,7
7111,Ashok Kumar Pandey,35,ALIGARH,UTTAR PRADESH,IND,2,Post Graduate,1092000.0,0.6972,0.147,1,4,4,0.0121,7
7114,Dileep Sharma,36,ALIGARH,UTTAR PRADESH,Peace Party,0,Graduate Professional,461000.0,0.6972,0.147,1,4,3,0.0121,7
4905,Mohanlal Basumata,44,ALIPURDUARS,WEST BENGAL,INC,0,Graduate Professional,1660568.0,0.7708,0.077,3,3,3,-0.0155,7
5712,John Barla,43,ALIPURDUARS,WEST BENGAL,BJP,9,8th Pass,1418730.0,0.7708,0.077,3,3,0,-0.0155,7
4695,Dasrath Tirkey,52,ALIPURDUARS,WEST BENGAL,AITC,0,Graduate,8457896.0,0.7708,0.077,3,2,3,-0.0155,7
4616,Mili Oraon,42,ALIPURDUARS,WEST BENGAL,Revolutionary Socialist Party,0,Post Graduate,2500283.0,0.7708,0.077,2,3,4,-0.0155,7
5713,Prasen Jayant Kindo,32,ALIPURDUARS,WEST BENGAL,IND,0,Graduate,86659.0,0.7708,0.077,1,4,3,-0.0155,7
4617,Rabichan Rabha,49,ALIPURDUARS,WEST BENGAL,SUCI(C),0,10th Pass,1083670.0,0.7708,0.077,1,3,1,-0.0155,7
5711,Gergory Trikey,36,ALIPURDUARS,WEST BENGAL,IND,0,Graduate,1100968.0,0.7708,0.077,1,4,3,-0.0155,7
12348,Ajay Kumar,50,ALLAHABAD,UTTAR PRADESH,IND,0,Graduate,20388074.0,0.6972,0.147,1,2,3,0.0121,7
13473,Rajendra Singh Patel,63,ALLAHABAD,UTTAR PRADESH,SP,0,Graduate,292681002.0,0.6972,0.147,2,1,3,0.0121,7
13476,Ajeet Kumar Patel,31,ALLAHABAD,UTTAR PRADESH,Pragatisheel Samaj Party,0,12th Pass,1881200.0,0.6972,0.147,1,4,2,0.0121,7
13479,Rabindra Kumar Srivastava,48,ALLAHABAD,UTTAR PRADESH,IND,0,Graduate Professional,434127.0,0.6972,0.147,1,3,3,0.0121,7
12346,Shiv Prasad,63,ALLAHABAD,UTTAR PRADESH,Lok Gathbandhan Party,0,12th Pass,37769306.0,0.6972,0.147,1,1,2,0.0121,7
12350,Gayatri Prasad,60,ALLAHABAD,UTTAR PRADESH,Bhartiya Shakti Chetna Party,0,Post Graduate,18123000.0,0.6972,0.147,1,1,4,0.0121,7
13471,Girdhar Gopal Tripathi,77,ALLAHABAD,UTTAR PRADESH,CPI,0,Post Graduate,31089514.0,0.6972,0.147,3,1,4,0.0121,7
13474,Rita Bahuguna Joshi,69,ALLAHABAD,UTTAR PRADESH,BJP,6,Doctorate,25319330.0,0.6972,0.147,3,1,5,0.0121,7
13477,Om Guru Charandas,49,ALLAHABAD,UTTAR PRADESH,Sanatan Sanskriti Raksha Dal,0,10th Pass,246707.0,0.6972,0.147,1,3,1,0.0121,7
12347,Ram Pal,47,ALLAHABAD,UTTAR PRADESH,Parivartan Samaj Party,0,10th Pass,2988000.0,0.6972,0.147,1,3,1,0.0121,7
