CANDIDATE_ID,CANDIDATE_NAME,AGE_GROUP_INDEX,CONSTITUENCY_INDEX,STATE_INDEX,PARTY_INDEX,NO_PENDING_CRIMINAL_CASES,EARNINGS_POINTS,STATE_LITERACY_RATE,STATE_SEAT_SHARE,PARTY_GRP_IDX,EDUCATION_GROUP_IDX,DELTA_STATE_VOTER_TURNOUT,NO_OF_PHASES,RE_CONTEST,SEX_INDEX,VOTING_PERCENTAGE
5051,POCHA BRAHMANANDA REDDY,1,15,2,675,1,0,0.674,0.046,2,4,0.0524,1,0,0,0.5549
4805,MANDRA SIVANANDA REDDY,2,15,2,637,0,0,0.674,0.046,2,3,0.0524,1,0,0,0.3624
4721,S.P.Y. REDDY,1,15,2,288,1,0,0.674,0.046,1,3,0.0524,1,1,0,0.0299
5050,LAKSHMI NARASAIAH JANGITI,4,15,2,243,0,0,0.674,0.046,3,4,0.0524,1,0,0,0.0111
5049,ADINARAYANA INTY,1,15,2,187,1,0,0.674,0.046,3,4,0.0524,1,0,0,0.007
6927,POLURU GURUVAIAH,4,15,2,244,0,0,0.674,0.046,1,0,0.0524,1,0,0,0.0047
6920,BHUMA KISHOR REDDY,4,15,2,244,0,0,0.674,0.046,1,1,0.0524,1,0,0,0.0037
6925,JESTADI SUDHAKAR,4,15,2,244,1,0,0.674,0.046,1,1,0.0524,1,0,0,0.0035
6917,D. P. JAMAL BASHA,3,15,2,76,0,0,0.674,0.046,1,1,0.0524,1,0,0,0.0031
6924,I.V. PAKKIR REDDY,1,15,2,244,2,0,0.674,0.046,1,3,0.0524,1,0,0,0.0024
6919,B.C. RAMANATHA REDDY,2,15,2,244,1,0,0.674,0.046,1,3,0.0524,1,0,0,0.002
6929,VANGALA PARAMESWARA REDDY.,3,15,2,244,3,0,0.674,0.046,1,1,0.0524,1,0,0,0.0018
6921,C. SURENDRA NATH REDDY,2,15,2,244,0,0,0.674,0.046,1,2,0.0524,1,0,0,0.0013
6922,DR. LAKSHMI KANTHA REDDY CHITLA,4,15,2,244,0,0,0.674,0.046,1,5,0.0524,1,0,0,0.0011
6916,PULA. NAGAMADDILETY,3,15,2,62,0,0,0.674,0.046,1,1,0.0524,1,0,0,0.0007
